rider_name,velocategory,veloscore,zwift_id,team,team_color,team_bg,stage1_time,stage1_veloscore,stage1_velocategory,stage2_time,stage2_veloscore,stage2_velocategory,stage3_time,stage3_veloscore,stage3_velocategory,stage4_time,stage4_veloscore,stage4_velocategory,stage5_time,stage5_veloscore,stage5_velocategory,gc_time
Dan Groom,1,2383,1719043,Njinga Cycling,ffff00,000000,00:33:24,2385,1,00:46:35,2383,1,-,-,-,-,-,-,-,-,-,01:19:59
Alan   Glendinning,1,2356,399059,LEVEL Esports,ffffff,5ce409,00:33:24,2356,1,-,-,-,-,-,-,-,-,-,-,-,-,00:33:24
Ezna Ragrts,3,1878,8159437,-,00dd00,,00:33:35,1845,3,-,-,-,-,-,-,01:24:37,1878,3,-,-,-,01:58:12
Luke Walton,1,2282,2570886,VenTech,ffffff,0073b7,00:33:45,2282,1,-,-,-,-,-,-,-,-,-,-,-,-,00:33:45
Timothy Pettersson,3,1827,7214250,-,00dd00,,00:33:48,1827,3,-,-,-,-,-,-,-,-,-,-,-,-,00:33:48
Jay Rowe,2,2069,6715306,RtB,ffa200,ffffff,00:34:54,2047,2,00:46:35,2059,2,00:17:07,2062,2,01:23:40,2069,2,-,-,-,03:02:16
Adrian Montanez,2,1966,1246463,COALITION,ffffff,ff00ff,00:35:33,1966,2,-,-,-,-,-,-,-,-,-,-,-,-,00:35:33
Mark Hayes [PWCC],2,1958,1511742,Team Not Pogi,ff0000,ffffff,00:35:37,1958,2,-,-,-,-,-,-,-,-,-,-,-,-,00:35:37
Matthieu De Smet,1,2912,6853346,Team Not Pogi,ff0000,ffffff,00:42:14,2853,1,00:46:32,2835,1,00:14:08,2840,1,01:08:55,2912,1,-,-,-,02:51:49
Robert McEwan,3,1849,619770,Team Not Pogi,ff0000,ffffff,00:33:49,1838,3,00:51:06,1843,3,00:17:21,1846,3,01:24:17,1849,3,-,-,-,03:06:33
dwaine henderson,3,1789,7533529,Team Not Pogi,ff0000,ffffff,00:35:34,1789,3,-,-,-,-,-,-,-,-,-,-,-,-,00:35:34
Christian Brown (Rhino),4,1575,473195,RHINO,ff66c4,272c52,00:35:51,1575,4,-,-,-,-,-,-,-,-,-,-,-,-,00:35:51
David Fisher (Team CLS),2,1948,171996,Team CLS,04a941,ffffff,00:35:56,1948,2,-,-,-,-,-,-,-,-,-,-,-,-,00:35:56
Hans Fischer,4,1598,1260221,DZR,ffffff,ff0000,00:36:23,1598,4,-,-,-,-,-,-,-,-,-,-,-,-,00:36:23
Mark Williams (RollCo),4,1518,6343143,RollCo,8b5cf6,f2f0ef,00:36:34,1518,4,-,-,-,-,-,-,-,-,-,-,-,-,00:36:34
Heinz Ensen (Herd),4,1549,3614977,HERD,383c3d,fc6719,00:37:22,1571,4,00:51:56,1573,4,00:20:45,1564,4,01:31:17,1549,4,-,-,-,03:21:20
L ook mum no hands (RollCo),4,1519,6311857,RollCo,8b5cf6,f2f0ef,00:37:39,1502,4,00:52:00,1510,4,00:19:19,1509,4,01:28:22,1519,4,-,-,-,03:17:20
Chris Wooly [SRT],4,1451,5981378,S R T,f7f700,1c30e8,00:37:39,1436,5,00:52:01,1440,5,00:20:01,1448,5,01:33:51,1451,4,-,-,-,03:23:32
L.Tanis[Ghost],4,1493,6997588,&#128123; Ghost &#128123;,000000,e3e3e3,00:38:05,1512,4,00:51:57,1519,4,00:20:22,1494,4,01:34:33,1493,4,-,-,-,03:24:57
Carlos Barreiros,4,1547,5667771,HERC,ffffff,ff007f,00:38:06,1571,4,00:55:02,1547,4,-,-,-,-,-,-,-,-,-,01:33:08
Mathieu Brisebois-Boies (Rhinos),4,1505,1558307,RHINO,ff66c4,272c52,00:39:45,1493,4,00:51:56,1511,4,00:20:16,1505,4,-,-,-,-,-,-,01:51:57
B. Copestake,4,1636,7799511,Team Not Pogi,ff0000,ffffff,00:35:43,1608,4,00:51:55,1616,4,00:18:30,1630,4,01:28:12,1636,4,-,-,-,03:14:20
2. Burrito &#127791;,4,1583,72072,HERC,ffffff,ff007f,00:44:56,1607,4,01:01:21,1607,4,00:25:02,1607,4,01:48:24,1583,4,-,-,-,03:59:43
Dag Eidesen,4,1553,428535,ACE,ffffff,000000,00:35:11,1553,4,-,-,-,-,-,-,-,-,-,-,-,-,00:35:11
Kyle Sremaniak (GXY / SRT),4,1460,5880054,S R T,f7f700,1c30e8,00:38:04,1427,5,00:51:55,1454,4,00:19:16,1455,4,01:33:50,1460,4,-,-,-,03:23:05
Jorge Fernandez Fernandez,5,1332,6991072,Team Not Pogi,ff0000,ffffff,00:38:28,1297,6,00:55:01,1300,5,00:19:45,1314,5,01:32:29,1332,5,-,-,-,03:25:43
Ben Hartopp [SNOW],4,1461,412916,SNOW,ffffff,76bcfa,00:39:16,1461,4,-,-,-,-,-,-,-,-,-,-,-,-,00:39:16
Alex Stiene &#127482;&#127462; (TNP),7,1067,8149174,Team Not Pogi,ff0000,ffffff,00:39:47,1055,7,00:57:30,1058,7,00:21:04,1068,7,01:45:10,1067,7,-,-,-,03:43:31
John Swift,6,1286,7185431,Team Not Pogi,ff0000,ffffff,00:39:52,1286,6,-,-,-,-,-,-,-,-,-,-,-,-,00:39:52
